,CHEMBL4578881,CHEMBL1972346,CHEMBL1993877,CHEMBL3361254,CHEMBL2103840,CHEMBL4791276,P076-1220,P076-1448,CHEMBL296468,CHEMBL3948055,M628-0340,G887-0711,L483-0192,T479-0984,CHEMBL4170388,CHEMBL4635162,CHEMBL1977138,CHEMBL3797571,CHEMBL1986899,CHEMBL1997892,CHEMBL242865,CHEMBL1973359,CHEMBL1983980,CHEMBL4074204,CHEMBL1986177,CHEMBL1992042,CHEMBL388978,CHEMBL1972355,CHEMBL1970352,CHEMBL2004025,CHEMBL1991734,CHEMBL1976936,CHEMBL1995211,CHEMBL4104223,CHEMBL1970340,CHEMBL1977749
M628-0340,0.1038961038961039,0.08064516129032258,0.15714285714285714,0.15730337078651685,0.15625,0.125,0.21052631578947367,0.3283582089552239,0.1566265060240964,0.24,1.0,0.3125,0.2413793103448276,0.2375,0.125,0.0970873786407767,0.1111111111111111,0.11956521739130435,0.08,0.11363636363636363,0.0975609756097561,0.12987012987012986,0.13131313131313133,0.11904761904761904,0.15730337078651685,0.14285714285714285,0.09183673469387756,0.10588235294117647,0.125,0.14285714285714285,0.10606060606060606,0.1686746987951807,0.1267605633802817,0.14102564102564102,0.08333333333333333,0.0759493670886076
G887-0711,0.08695652173913043,0.06493506493506493,0.14285714285714285,0.2553191489361702,0.17757009345794392,0.16666666666666666,0.25882352941176473,0.19540229885057472,0.1935483870967742,0.18681318681318682,0.3125,1.0,0.20588235294117646,0.2127659574468085,0.10679611650485436,0.12280701754385964,0.10576923076923077,0.1346153846153846,0.1566265060240964,0.10784313725490197,0.08247422680412371,0.0967741935483871,0.12389380530973451,0.12371134020618557,0.12380952380952381,0.14423076923076922,0.08928571428571429,0.09,0.16666666666666666,0.13186813186813187,0.08641975308641975,0.13131313131313133,0.10465116279069768,0.14285714285714285,0.08139534883720931,0.08695652173913043
L483-0192,0.10752688172043011,0.0759493670886076,0.125,0.1308411214953271,0.13157894736842105,0.1134020618556701,0.14583333333333334,0.15053763440860216,0.2,0.18085106382978725,0.2413793103448276,0.20588235294117646,1.0,0.24468085106382978,0.10377358490566038,0.11965811965811966,0.20408163265306123,0.1523809523809524,0.1511627906976744,0.1717171717171717,0.1134020618556701,0.08247422680412371,0.1504424778761062,0.15463917525773196,0.14150943396226415,0.1619047619047619,0.11607142857142858,0.13131313131313133,0.14893617021276595,0.15217391304347827,0.08333333333333333,0.11650485436893204,0.08888888888888889,0.10309278350515463,0.06666666666666667,0.07291666666666667
T479-0984,0.10588235294117647,0.07042253521126761,0.0975609756097561,0.16666666666666666,0.14285714285714285,0.1511627906976744,0.20238095238095238,0.18072289156626506,0.15384615384615385,0.18604651162790697,0.2375,0.2127659574468085,0.24468085106382978,1.0,0.09090909090909091,0.10909090909090909,0.11224489795918367,0.14285714285714285,0.13924050632911392,0.16304347826086957,0.125,0.11627906976744186,0.1308411214953271,0.10752688172043011,0.17894736842105263,0.1188118811881188,0.09433962264150944,0.10752688172043011,0.13793103448275862,0.15476190476190477,0.09333333333333334,0.09278350515463918,0.1125,0.15294117647058825,0.10126582278481013,0.06818181818181818
CHEMBL4170388,0.06818181818181818,0.07042253521126761,0.1111111111111111,0.08737864077669903,0.1111111111111111,0.125,0.09782608695652174,0.13953488372093023,0.11702127659574468,0.10869565217391304,0.125,0.10679611650485436,0.10377358490566038,0.09090909090909091,1.0,0.14018691588785046,0.06862745098039216,0.13131313131313133,0.0975609756097561,0.12631578947368421,0.06451612903225806,0.06666666666666667,0.09009009009009009,0.09574468085106383,0.05660377358490566,0.13,0.09433962264150944,0.09574468085106383,0.07608695652173914,0.07777777777777778,0.1388888888888889,0.15217391304347827,0.1125,0.11363636363636363,0.12987012987012986,0.08045977011494253
CHEMBL4635162,0.04854368932038835,0.058823529411764705,0.08333333333333333,0.08620689655172414,0.09836065573770492,0.16494845360824742,0.10576923076923077,0.13131313131313133,0.11214953271028037,0.1262135922330097,0.0970873786407767,0.12280701754385964,0.11965811965811966,0.10909090909090909,0.14018691588785046,1.0,0.07894736842105263,0.11504424778761062,0.07216494845360824,0.06140350877192982,0.08653846153846154,0.0784313725490196,0.06299212598425197,0.09345794392523364,0.058823529411764705,0.09482758620689655,0.09243697478991597,0.08333333333333333,0.056074766355140186,0.05714285714285714,0.07865168539325842,0.12149532710280374,0.061855670103092786,0.13131313131313133,0.08602150537634409,0.06930693069306931
CHEMBL1977138,0.07954545454545454,0.0547945205479452,0.07058823529411765,0.0660377358490566,0.12037037037037036,0.1111111111111111,0.0851063829787234,0.08791208791208792,0.09278350515463918,0.09574468085106383,0.1111111111111111,0.10576923076923077,0.20408163265306123,0.11224489795918367,0.06862745098039216,0.07894736842105263,1.0,0.13,0.12345679012345678,0.1134020618556701,0.1111111111111111,0.06593406593406594,0.08928571428571429,0.08333333333333333,0.0970873786407767,0.09615384615384616,0.09345794392523364,0.10638297872340426,0.0989010989010989,0.08888888888888889,0.10666666666666667,0.10309278350515463,0.1111111111111111,0.125,0.07317073170731707,0.06741573033707865
CHEMBL3797571,0.10112359550561797,0.05263157894736842,0.056179775280898875,0.10476190476190476,0.11711711711711711,0.14444444444444443,0.1797752808988764,0.1590909090909091,0.11224489795918367,0.1276595744680851,0.11956521739130435,0.1346153846153846,0.1523809523809524,0.14285714285714285,0.13131313131313133,0.11504424778761062,0.13,1.0,0.11904761904761904,0.15625,0.07291666666666667,0.06382978723404255,0.10619469026548672,0.08080808080808081,0.09433962264150944,0.07339449541284404,0.10091743119266056,0.10309278350515463,0.07291666666666667,0.07446808510638298,0.13157894736842105,0.1111111111111111,0.09411764705882353,0.13333333333333333,0.0963855421686747,0.053763440860215055
CHEMBL1986899,0.05555555555555555,0.05454545454545454,0.058823529411764705,0.06818181818181818,0.13333333333333333,0.0945945945945946,0.09210526315789473,0.0958904109589041,0.11538461538461539,0.10526315789473684,0.08,0.1566265060240964,0.1511627906976744,0.13924050632911392,0.0975609756097561,0.07216494845360824,0.12345679012345678,0.11904761904761904,1.0,0.15584415584415584,0.1095890410958904,0.09859154929577464,0.13186813186813187,0.08974358974358974,0.10588235294117647,0.11764705882352941,0.053763440860215055,0.0759493670886076,0.0945945945945946,0.14492753623188406,0.0847457627118644,0.08641975308641975,0.12698412698412698,0.0958904109589041,0.078125,0.08571428571428572
CHEMBL1997892,0.06896551724137931,0.07142857142857142,0.03488372093023256,0.0673076923076923,0.10185185185185185,0.10112359550561797,0.16279069767441862,0.11494252873563218,0.14285714285714285,0.14772727272727273,0.11363636363636363,0.10784313725490197,0.1717171717171717,0.16304347826086957,0.12631578947368421,0.06140350877192982,0.1134020618556701,0.15625,0.15584415584415584,1.0,0.10112359550561797,0.09195402298850575,0.10091743119266056,0.0851063829787234,0.15625,0.14285714285714285,0.07476635514018691,0.12087912087912088,0.10112359550561797,0.10344827586206896,0.0945945945945946,0.10526315789473684,0.11392405063291139,0.0898876404494382,0.08860759493670886,0.06896551724137931
